Count,City,Country,Date,latitude,longitude
1,Ramstein,Federal Republic of Germany,1982-05-11,,
1,Ravenstein,Netherlands,1972-02-05,51.796778,5.651501
26,Rawalpindi,Pakistan,2009-07-02,33.598394,73.044135
3,Recife,Brazil,1978-05-24,-8.057838,-34.882897
13,Rio de Janeiro,Brazil,2003-05-09,-22.906847,-43.172896
7,Riohacha,Colombia,2006-01-07,11.538415,-72.916784
1,Rockville,United States,1977-07-25,39.083997,-77.152758
1,Romans sur Isere,France,1982-05-03,45.044236,5.052735
173,Rome,Italy,2006-11-06,41.902784,12.496366
25,Rosario,Argentina,2003-04-22,-32.944243,-60.650539
7,Rotterdam,Netherlands,1995-02-20,51.92442,4.477733
1,Roubaix,France,1975-07-26,50.692705,3.177847
1,Rubelsalto,Guatemala,1981-04-29,15.783471,-90.230759
1,Saigon,South Vietnam,1975-01-06,10.823099,106.629664
1,Saint Denis,France,1976-09-29,48.936181,2.357443
4,Saint Sebastian,Spain,1985-08-15,43.318334,-1.981231
7,Saint-Jean-de-Luz,France,1996-08-17,43.388051,-1.663055
2,Salisbury,Zimbabwe (Rhodesia),1977-08-06,-17.825166,31.03351
6,Salonika,Greece,1998-01-26,40.640063,22.944419
1,Salta,Argentina,1974-09-11,-24.782127,-65.423198
1,Salvador,Brazil,1977-07-03,-12.97304,-38.502304
2,Salzburg,Austria,1995-12-20,47.80949,13.05501
3,San Diego,United States,2003-09-19,32.715738,-117.161084
9,San Francisco,United States,1991-06-28,37.77493,-122.419416
30,San Jose,Costa Rica,1993-03-08,9.928069,-84.090725
13,San Juan,Puerto Rico,1998-06-09,18.465539,-66.105735
1,San Justo,Argentina,1975-03-09,-34.687408,-58.563263
1,San Marcos,El Salvador,1978-11-25,13.660952,-89.172981
3,San Martin,Colombia,2001-12-17,3.698492,-73.697308
3,San Miguel de Tucuman,Argentina,1972-11-09,-26.808285,-65.21759
11,San Pedro Sula,Honduras,1998-02-11,15.51492,-87.992268
87,San Salvador,El Salvador,2001-08-11,13.69294,-89.218191
144,San Sebastian,Spain,2008-05-01,43.318334,-1.981231
1,Santa Ana,El Salvador,1979-05-15,13.977828,-89.563912
1,Santa Barbara,United States,1973-01-28,34.420831,-119.69819
12,Santa Cruz,Bolivia,2008-12-18,-17.814582,-63.156085
3,Santa Fe,Argentina,1987-07-01,-31.610658,-60.697294
2,Santa Monica,United States,1975-05-07,34.019454,-118.491191
157,Santiago,Chile,2009-08-03,-33.44889,-70.669265
1,Santiago Texacuangos,El Salvador,1982-07-31,13.640896,-89.119057
2,Santiago de Los Caballeros,Dominican Republic,1968-10-08,19.479196,-70.693057
13,Santo Domingo,Dominican Republic,1989-12-21,18.486058,-69.931212
4,Santurce,Spain,2001-06-01,43.328128,-3.033659
17,Sao Paulo,Brazil,2005-09-08,-23.55052,-46.633309
1,Sapporo,Japan,1974-08-09,43.062096,141.354376
1,Sare,France,1976-05-28,43.312739,-1.580979
1,Sassari,Italy,1977-10-22,40.725927,8.555683
1,Schwaebisch-Gmund,Federal Republic of Germany,1982-08-03,,
5,Seattle,United States,2008-03-03,47.60621,-122.332071
1,Semnan,Iran,1978-11-14,35.578797,53.379811
1,Serrano,Spain,1976-09-27,40.425436,-3.68663
8,Seville,Spain,2000-12-31,37.389092,-5.984459
23,Sidon,Lebanon,2006-04-14,33.557069,35.372948
1,Silwad,Israel,1980-12-04,31.97939,35.261865
5,Singapore,Singapore,1988-04-20,1.355379,103.867744
1,Sligo,Ireland,1979-08-27,54.27661,-8.476089
1,St. Etienne de Baigorry,France,1982-03-19,43.175208,-1.347473
1,St. John,Canada,1968-09-11,45.273315,-66.063308
22,Stockholm,Sweden,2005-12-15,59.329323,18.068581
9,Strasbourg,France,2002-10-22,48.573405,7.752111
9,Stuttgart,Federal Republic of Germany,1996-07-24,48.775846,9.182932
3,Sucre,Bolivia,2007-12-13,-19.019585,-65.261961
